ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,1 256
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,1 91
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,599 40
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,140 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,159 71
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,738 19
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,252 2
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,1 7
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,521 17
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,27 23
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,563 26
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,78 54
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,645 16
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,150 18
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,681 10
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,180 16
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,709 5
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,203 3
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,721 18
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,228 4
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,746 23
0e132f71c8b4875c3c2dd7a22997468a3e842b46aa9bd47cf7b0e8b7d63f0925,1 256
0ed3555a4bd48046d3b63d8baf03a5aa97e523aa483aaa07459e7afa39fb96c6,1 132
0ed3555a4bd48046d3b63d8baf03a5aa97e523aa483aaa07459e7afa39fb96c6,646 13
0ed3555a4bd48046d3b63d8baf03a5aa97e523aa483aaa07459e7afa39fb96c6,148 109
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,1365 8
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,16 72
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,1462 10
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,126 206
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,1700 36
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,377 128
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,1870 31
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,545 135
1747f62148a919c8feb6d607faeebdf504b5e2ad42b6b1710b1189c37ebcdb2c,1 377
1747f62148a919c8feb6d607faeebdf504b5e2ad42b6b1710b1189c37ebcdb2c,1663 24
1747f62148a919c8feb6d607faeebdf504b5e2ad42b6b1710b1189c37ebcdb2c,411 139
1747f62148a919c8feb6d607faeebdf504b5e2ad42b6b1710b1189c37ebcdb2c,555 86
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,1362 82
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,1465 32
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,175 492
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,2029 7
17b9bf4356db24967c4677b8376ac38f826de73a88b93a8d73a8b452e399cdff,679 1
1879f4f4f05e2bada0ffeb46c128b8df7a79b14c84f38c3e216a69653495153b,1 640
191b2b2205f2f5cc9da04702c5d422bc249faf8bca1107af792da63cccfba829,1 256
